axis1,axis2,class
6.3607,1.3475,1
-1.3463,1.7416,1
0.51811,2.1003,1
1.1384,1.5137,1
5.4735,1.9531,1
1.1213,0.3522,1
4.2185,1.9885,1
-4.4884,-0.70232,1
0.88103,1.3379,1
-0.60441,0.85746,1
-2.9871,1.2549,1
3.6064,0.86604,1
2.8917,1.6938,1
2.1059,1.7141,1
-2.2175,-0.4235,1
5.5654,1.6724,1
3.1074,2.5722,1
1.0543,0.95713,1
2.0724,0.73916,1
1.1715,1.2777,1
-3.5347,-0.072381,1
1.0967,1.2546,1
-0.62901,0.48701,1
-1.0965,0.51939,1
-1.6569,0.85712,1
0.31274,1.9462,1
-4.3329,0.44787,1
5.0492,2.9085,1
3.6446,-0.53896,1
1.9367,0.595,1
1.89,1.1913,1
-0.52401,-0.11384,1
5.2214,0.35993,1
1.5787,1.48,1
-0.25954,1.2005,1
6.2735,1.8958,1
1.2892,1.2414,1
0.13733,-0.045793,1
1.0711,0.42253,1
-0.68138,0.50389,1
-1.5422,-0.13685,1
9.9879,2.4904,1
7.2351,3.8675,1
2.9725,0.72135,1
-1.9754,0.97367,1
-0.73685,-0.32117,1
1.4418,2.0955,1
4.5027,0.52223,1
-2.2122,0.55192,1
-5.3677,-0.64973,1
-2.5824,0.76338,1
3.0547,1.1682,1
3.2376,1.1469,1
3.4283,3.8105,1
1.588,0.38355,1
2.5809,1.0459,1
0.49427,3.1361,1
4.726,0.39941,1
-2.3061,0.84092,1
3.4389,0.26819,1
-0.68385,1.5047,1
0.94099,1.1295,1
3.7481,1.8363,1
5.2859,1.2474,1
-1.5343,0.68571,1
5.9866,2.8943,1
4.0876,-0.68973,1
1.7854,-0.47004,1
1.3827,1.2732,1
1.3119,0.32036,1
1.0415,0.59534,1
2.0729,-0.30687,1
2.1622,0.22777,1
4.6122,1.036,1
6.8287,1.0854,1
3.4765,0.45867,1
1.3368,0.52916,1
3.977,0.46669,1
2.5794,2.2682,1
-1.2564,-0.35862,1
5.0017,3.0507,1
2.971,0.81602,1
2.4275,-0.21391,1
3.6294,0.69975,1
2.8266,1.9467,1
-0.97724,1.483,1
1.4866,1.0641,1
1.5381,1.1837,1
0.31763,1.3048,1
7.3193,0.51344,1
-0.7693,0.072502,1
0.47004,-0.84065,1
-0.25156,0.2669,1
-1.7132,1.2787,1
1.3921,1.5404,1
1.1333,2.8841,1
6.8385,1.8726,1
1.2125,-1.0166,1
-1.3653,1.9824,1
7.0706,2.8894,1
5.9044,1.0727,1
1.2739,1.0871,1
-2.7629,0.97175,1
0.59396,1.1278,1
1.5069,1.5391,1
2.873,1.0317,1
1.1741,0.84194,1
3.4022,1.2879,1
3.2393,0.49073,1
-1.955,1.6594,1
-0.99772,0.55592,1
-0.34358,1.2528,1
0.39414,0.006488,1
0.98625,-0.098636,1
2.0394,0.92583,1
-7.5791,-0.65939,1
0.55479,1.8351,1
5.929,2.1229,1
-1.3732,0.96986,1
4.9527,0.17087,1
3.1078,0.31427,1
1.9083,1.1641,1
2.577,0.78029,1
-2.9491,1.3933,1
1.7327,2.1406,1
7.0721,1.2495,1
2.311,1.8171,1
2.1308,2.2481,1
-0.32165,0.93433,1
1.9026,2.4145,1
2.7347,2.0455,1
3.3484,1.3907,1
0.82108,1.595,1
1.2523,1.059,1
8.3995,1.5947,1
-5.1415,0.24433,1
9.0501,2.0894,1
3.0675,0.83912,1
5.1625,3.0335,1
-3.2626,0.40541,1
0.13415,3.1238,1
1.1207,0.60738,1
3.3367,1.6973,1
-3.2816,1.601,1
3.4914,3.6264,1
-1.8354,0.69194,1
2.2093,0.3357,1
4.0629,2.0167,1
3.0343,-0.0068261,1
5.4236,1.2725,1
5.1815,1.7166,1
-0.058351,2.0026,1
2.8129,2.3871,1
-0.98638,0.52778,1
-2.1799,1.1864,1
4.9246,1.1558,1
2.0002,1.582,1
1.8263,2.6601,1
4.8812,1.5702,1
3.8802,1.0175,1
3.1074,0.72591,1
5.9536,2.2238,1
4.9403,2.6183,1
2.7582,2.9851,1
-0.18311,0.72011,1
-0.060394,0.83447,1
5.7698,1.0085,1
-3.0971,1.6545,1
1.9226,0.92198,1
-4.1628,-0.34103,1
5.2271,3.4069,1
4.725,2.1217,1
2.0037,1.6312,1
1.776,0.081154,1
-5.8623,0.20271,1
3.8378,1.7336,1
-4.9331,-1.0015,1
-5.3342,-0.29891,1
2.2528,0.68145,1
-0.99936,1.0148,1
3.3012,0.30872,1
4.1408,2.2798,1
4.7124,2.9782,1
-0.18564,0.40475,1
3.4211,1.2055,1
2.3182,1.4937,1
4.6123,2.4511,1
3.6955,1.7139,1
4.8394,1.7754,1
1.5828,0.51238,1
1.5345,0.72638,1
5.1869,2.018,1
-4.7156,1.4741,1
0.40436,1.261,1
-2.018,-0.66441,1
0.79016,1.1998,1
4.0513,1.2266,1
4.6112,1.1768,1
-1.2095,0.32561,1
0.51035,0.0020573,1
2.4333,0.78258,1
1.077,0.171,1
2.9544,0.82187,1
3.2647,1.2929,1
-0.9408,0.71236,1
1.4408,0.72627,1
-4.7423,-0.14569,1
5.622,1.5729,1
0.01064,1.105,1
-1.8069,1.5572,1
1.197,1.4254,1
-2.5178,0.069963,1
1.934,1.5166,1
0.22702,0.5179,1
8.8867,0.46536,1
5.6001,-0.52635,1
-5.8958,-1.6929,1
3.3956,1.0006,1
-2.4213,-0.20868,1
1.1934,0.24503,1
2.5199,1.1138,1
4.3645,0.77455,1
1.1365,0.31541,1
6.9847,2.2844,1
0.47914,1.4606,1
3.0357,3.3004,1
4.1021,1.5815,1
2.2694,1.0917,1
4.7858,0.91244,1
3.0221,0.98146,1
-0.47969,0.58356,1
-3.7091,-1.402,1
7.8774,1.655,1
0.088308,1.3731,1
2.3269,0.54656,1
3.7809,1.7022,1
2.3592,1.9267,1
-0.861,1.5191,1
0.52096,1.462,1
1.6051,-1.0487,1
6.6769,1.2047,1
-0.72214,1.3853,1
4.4813,1.7196,1
2.976,1.1507,1
1.2605,1.2737,1
-1.3424,1.4935,1
1.1015,1.0006,1
1.7259,0.29103,1
-2.6466,0.1444,1
2.6077,0.90823,1
-0.60032,1.3994,1
1.702,1.3183,1
3.0632,1.6415,1
-0.86077,0.70103,1
1.0885,0.54435,1
3.107,1.2199,1
-3.8055,0.31995,1
5.276,0.26058,1
9.6668,2.3075,1
5.0339,2.2717,1
1.0014,0.75322,1
3.3554,2.5876,1
-1.2761,1.002,1
7.9383,1.5207,1
4.9748,1.3107,1
4.4898,1.1312,1
-0.76976,0.7968,1
3.0118,1.8161,1
0.23452,0.4782,1
1.0152,1.2559,1
0.19747,2.2749,1
-1.2437,1.3335,1
-0.87371,1.2955,1
1.3362,0.18313,1
-3.3723,-0.27612,1
3.9214,1.5017,1
1.6275,0.85552,1
4.2109,-0.098956,1
2.8527,-0.2053,1
3.5631,2.1379,1
-2.69,-0.37092,1
-1.2264,2.3457,1
0.58648,-1.1681,1
2.3468,1.4471,1
5.5694,1.536,1
1.0831,0.19671,1
5.9894,1.9543,1
3.5034,0.52665,1
5.7129,2.3138,1
2.4014,1.1191,1
-0.077034,-0.75477,1
-2.6846,-1.8373,1
2.4917,0.82389,1
4.5885,2.397,1
1.0748,1.0207,1
0.28988,0.79124,1
1.024,1.4591,1
-1.4677,-0.74683,1
0.44097,2.021,1
1.4285,0.12737,1
2.145,1.055,1
1.7983,0.64968,1
3.9332,1.4216,1
2.3457,-0.65998,1
7.7364,3.202,1
2.9867,1.6285,1
7.7063,3.6254,1
-0.28671,1.9041,1
3.6651,1.2599,1
1.177,0.049869,1
3.8978,-0.24616,1
3.8782,1.2967,1
-4.9128,0.15601,1
-2.1965,1.2912,1
-2.5569,-0.52072,1
3.2707,1.8903,1
6.6492,1.7603,1
0.96652,0.16387,1
4.5688,2.0668,1
3.7251,1.4926,1
-1.3256,0.29419,1
3.2569,2.8412,1
-0.3777,1.1797,1
6.7949,1.6221,1
1.897,1.2288,1
7.1735,1.8527,1
0.65585,0.9512,1
3.864,1.6789,1
1.8014,0.43891,1
-4.394,-0.66075,1
-1.1058,0.85163,1
3.9369,2.9501,1
1.8264,0.70386,1
-1.5377,-0.4222,1
0.019217,0.49288,1
2.789,0.69226,1
-1.1402,0.24079,1
5.0831,1.8811,1
-0.026101,0.58164,1
7.7201,1.3348,1
-1.4148,0.097108,1
2.6299,-0.069793,1
-2.8099,-0.47816,1
-0.28832,-0.58717,1
0.12398,0.26435,1
3.2691,0.23511,1
4.9793,0.82435,1
2.9502,0.87697,1
0.82025,-0.23376,1
4.5788,1.3698,1
4.5263,1.6786,1
2.3801,0.20905,1
3.8064,2.2516,1
3.3054,-0.20051,1
-1.121,0.18693,1
4.402,0.053265,1
-0.078253,0.38487,1
0.090242,-0.45196,1
2.5596,0.57788,1
1.0276,0.20206,1
1.5831,-0.10573,1
3.8827,-0.53538,1
5.3104,1.994,1
1.374,2.6669,1
3.0362,3.1127,1
1.2464,0.45368,1
2.726,1.0684,1
3.3914,0.79869,1
0.049299,0.77425,1
2.8691,0.32154,1
3.9009,-0.40466,1
2.2919,1.0117,1
7.4702,0.74201,1
0.075572,-0.96345,1
-0.33079,2.7405,1
-3.5336,-0.035464,1
4.8792,1.7874,1
4.742,2.4611,1
1.7474,-0.52106,1
4.8412,1.7899,1
2.5809,1.5288,1
2.9196,1.2111,1
2.3572,1.1925,1
3.3913,0.74392,1
2.3215,1.6848,1
10.814,1.5739,1
-1.6893,-0.25449,1
-3.8638,0.75897,1
-1.6072,1.9437,1
-1.4575,0.14122,1
0.62881,0.34968,1
1.4673,1.2793,1
1.3089,1.8404,1
3.7118,2.1089,1
3.231,1.4225,1
4.3756,0.79785,1
7.6233,2.3979,1
5.8677,1.5104,1
-2.058,1.6035,1
-5.3648,-1.3444,1
4.8522,1.5522,1
-3.8048,1.2647,1
2.2111,0.59595,1
2.1122,0.46677,1
9.0429,1.2345,1
1.7811,0.7218,1
0.3957,0.58283,1
2.7457,1.2322,1
2.7773,0.33895,1
2.2215,1.1059,1
0.075499,0.17971,1
-1.8662,0.095466,1
3.0009,0.41225,1
-2.2465,0.11435,1
-1.2641,3.6531,1
6.2097,4.6312,1
0.67531,1.811,1
1.5563,1.6265,1
4.8455,0.30163,1
1.051,0.343,1
5.2551,0.94298,1
0.90881,1.3076,1
5.2028,1.9056,1
3.9901,1.394,1
1.3264,0.59939,1
-0.73758,-0.2257,1
-1.2986,0.5099,1
1.146,1.8747,1
0.61448,1.1684,1
0.70766,0.96552,1
5.1102,2.0453,1
1.0586,1.3731,1
5.6166,0.11947,1
0.31887,0.76436,1
5.0755,1.0863,1
0.3485,-1.0384,1
2.5584,-0.085821,1
5.0697,1.1789,1
0.6909,1.5303,1
0.61407,0.59025,1
8.3353,2.1812,1
5.0073,0.66057,1
0.63388,-1.1041,1
4.0521,1.3905,1
0.86134,-0.0081631,1
4.2322,2.3671,1
6.4773,3.1991,1
-3.0739,-0.088308,1
5.2535,2.5382,1
6.6105,2.5311,1
2.1501,-0.2232,1
7.5221,1.799,1
2.4914,1.3036,1
-1.9121,0.8736,1
-4.9364,0.55534,1
0.94567,1.4355,1
4.2564,1.9357,1
3.0037,0.87538,1
3.308,1.5301,1
0.1751,-1.2571,1
2.4554,0.039759,1
-3.1819,1.2809,1
-0.40362,0.057782,1
-0.58925,0.89998,1
3.6435,2.5742,1
1.9552,0.21074,1
-1.6541,-0.39261,1
1.9699,0.56172,1
-0.18137,1.0611,1
-0.10829,0.50349,1
4.7327,0.5491,1
2.3587,-0.33093,1
3.2597,0.863,1
4.7954,1.2246,1
2.57,0.61433,1
3.742,1.0307,1
4.1597,0.35962,1
5.7018,2.0388,1
3.5048,-0.68869,1
6.4659,1.7972,1
2.0715,1.5997,1
1.8486,0.23003,1
7.3801,1.7568,1
0.38815,1.0151,1
1.991,0.45757,1
4.9089,1.4243,1
2.4737,1.4339,1
6.4428,0.84141,1
5.2702,2.2257,1
2.922,2.1019,1
-0.4593,0.91385,1
3.7921,1.2821,1
-2.3722,-0.68099,1
2.7731,1.5516,1
4.5565,0.31311,1
2.6737,2.5015,1
4.7818,1.8807,1
8.4475,2.2003,1
4.9217,1.0918,1
2.8441,-0.78928,1
4.0291,0.25178,1
3.3455,1.5234,1
-2.1575,2.5001,1
0.68319,1.4541,1
5.8728,1.8536,1
1.8622,0.50219,1
3.8418,1.3839,1
-1.1828,1.3697,1
2.204,0.80702,1
3.8983,2.9501,1
-2.3055,-0.72006,1
3.0992,0.83366,1
1.425,0.9599,1
-0.97107,-1.1658,1
1.8813,1.48,1
-3.9966,0.16899,1
-4.7293,0.061657,1
-1.7218,1.1413,1
-1.1323,1.449,1
-1.7095,1.1498,1
-3.4563,-0.23117,1
2.9115,1.0957,1
-3.0413,0.55497,1
2.3485,-0.054131,1
4.4889,0.46128,1
1.993,0.62307,1
2.2944,1.1125,1
0.80416,2.3973,1
-2.6886,0.99857,1
1.8614,0.58966,1
5.0384,0.90194,1
7.4968,3.1748,1
0.63957,3.2024,1
-3.146,0.3755,1
2.526,0.65734,1
3.1899,-0.065138,1
1.2823,1.7507,1
-1.6332,0.71007,1
8.4015,2.9862,1
-5.4615,-0.91919,1
0.38733,0.96989,1
-2.1793,-0.20269,1
-0.011614,1.8207,1
3.0051,0.66553,1
2.4365,0.98853,1
-0.24754,0.35667,1
4.4571,2.2436,1
3.9682,1.6724,1
4.0472,0.42305,1
0.65403,0.24112,1
5.3159,0.5768,1
4.0893,1.7586,1
9.9334,2.4822,1
5.363,0.064723,1
5.6585,-0.12989,1
2.1675,0.98957,1
-2.0742,1.0026,1
0.8261,0.97252,1
-0.39635,-0.71852,1
0.21657,-0.63363,1
3.7555,2.0266,1
0.23931,0.60792,1
-0.8306,0.23539,1
0.70559,1.9645,1
1.4912,0.22252,1
3.2944,1.3134,1
-1.0125,0.91594,1
3.0034,1.8723,1
2.2467,0.28489,1
6.1881,1.9428,1
1.3259,3.3185,1
1.5747,-0.39572,1
-1.7042,0.82643,1
-2.3806,0.14064,1
2.9819,0.41917,1
1.211,0.14923,1
3.593,1.6773,1
-0.82284,2.6151,1
8.0352,1.2064,1
2.3865,1.5342,1
5.311,1.0045,1
1.2824,2.6324,1
1.4861,1.4024,1
4.1821,1.2059,1
3.7575,1.8093,1
-1.5426,0.4637,1
-2.8468,1.2477,1
-1.4718,0.31585,1
-2.4771,-0.65879,1
2.1884,1.2452,1
0.69951,2.1792,1
0.83625,-0.228,1
-2.3037,0.14109,1
4.4652,2.2544,1
3.3895,-0.48193,1
1.7166,1.5081,1
5.2293,2.1473,1
-0.76377,0.77337,1
3.3114,0.51864,1
3.1019,1.159,1
3.1044,1.2477,1
-0.30608,1.4774,1
3.0336,1.7392,1
0.3718,0.44745,1
-0.83481,2.0008,1
-1.8051,0.38449,1
5.2819,0.77683,1
-0.67511,0.21277,1
1.4532,1.6738,1
-1.8221,0.59854,1
1.0604,1.6416,1
-8.2206,-0.47215,1
-1.4373,2.6737,1
-2.5108,-1.143,1
-1.208,0.15265,1
1.3256,0.82469,1
0.97116,0.92425,1
8.1487,3.2042,1
0.19189,0.92198,1
1.2093,0.78027,1
-2.9626,0.316,1
0.49038,1.4351,1
-2.2311,-0.24159,1
2.0958,1.4112,1
4.6977,0.026899,1
3.2784,1.1224,1
-0.21556,-0.16143,1
-3.1562,-0.34818,1
6.617,1.9413,1
8.4828,0.98197,1
2.3811,0.18652,1
-1.1303,-0.80402,1
5.7877,-0.3937,1
0.12586,0.58549,1
0.51433,1.8008,1
4.803,1.2603,1
-2.3804,0.13697,1
-4.1878,-0.84965,1
3.3303,2.5934,1
3.2672,0.97052,1
2.3009,2.1843,1
3.5707,1.5543,1
5.4223,1.2818,1
5.0688,2.413,1
0.20203,1.5952,1
4.5614,1.2861,1
2.5479,2.2231,1
0.40133,2.3283,1
-1.7736,0.3762,1
4.0459,1.0818,1
0.88175,1.1885,1
2.1468,1.3317,1
-0.50752,1.3348,1
-2.9032,0.03952,1
2.5426,1.7109,1
1.8035,1.8936,1
5.7917,1.7251,1
4.5352,1.5152,1
5.3308,0.39539,1
-0.36816,-0.38769,1
-0.96092,-0.73071,1
-2.0132,-0.69738,1
3.5748,1.0997,1
10.82,0.9013,1
4.3008,3.3224,1
-0.44464,1.2841,1
4.6457,-0.42338,1
-1.5681,-0.55161,1
-2.5046,0.22995,1
4.2688,-0.1676,1
-0.45995,0.22614,1
2.9992,2.1103,1
6.4479,1.5229,1
3.2685,1.1311,1
4.9398,0.55923,1
-3.078,-0.25087,1
4.092,0.12396,1
8.7625,2.335,1
3.7112,0.85859,1
-2.8727,0.95873,1
1.3576,1.9928,1
0.41897,1.7111,1
3.2112,1.151,1
3.303,0.75176,1
3.2823,0.11479,1
0.84962,0.93177,1
0.10494,1.5604,1
0.13556,0.4202,1
4.6991,1.2523,1
-3.8597,0.6636,1
1.3444,1.6622,1
2.855,-0.11912,1
-0.064243,0.86639,1
3.5091,1.3988,1
1.7745,0.83312,1
-0.96717,1.3409,1
2.5103,0.75593,1
1.1519,0.14546,1
0.70387,1.0486,1
-0.2494,1.0674,1
2.1943,0.83767,1
-3.838,0.82516,1
0.74036,-0.52532,1
0.28115,-0.20412,1
-0.88368,-2.1371,1
4.064,1.7686,1
-0.32197,-0.22073,1
3.7096,1.0336,1
5.0859,2.3514,1
1.5039,0.9705,1
2.8785,0.74404,1
4.0223,0.55641,1
1.7439,0.74998,1
3.7104,1.7873,1
-1.9926,-0.93371,1
5.5115,1.4666,1
-1.1293,1.2194,1
-3.7833,-1.1182,1
6.3782,2.246,1
1.8016,1.5717,1
3.4196,0.43636,1
0.85128,-0.49679,1
-1.2274,0.89721,1
-7.7176,0.25389,1
3.9805,1.8067,1
1.0934,1.5356,1
1.3759,-0.13428,1
3.2826,1.7064,1
-2.4884,-0.18386,1
-0.30671,0.1598,1
5.6282,0.17451,1
3.8906,2.2522,1
-2.0518,0.54635,1
-4.9673,0.83842,1
0.19356,2.0592,1
2.6767,0.10035,1
4.9801,2.0131,1
2.2964,1.0332,1
-1.5491,1.2725,1
2.9682,2.1204,1
-1.7072,1.1662,1
-1.0388,-0.1756,1
-0.067292,0.57856,1
-1.8877,0.64938,1
1.1431,3.6521,1
-0.84589,1.653,1
1.0966,2.9074,1
0.53769,1.1456,1
0.70415,0.99211,1
0.40767,1.3009,1
5.9,1.1204,1
3.93,2.3825,1
2.1868,0.88925,1
-2.6389,-0.90507,1
-3.1412,0.99545,1
-4.2131,-1.3128,1
10.238,0.61218,1
5.0749,1.7151,1
2.8126,0.28477,1
-1.0808,-0.26388,1
-1.6251,0.31366,1
3.7318,0.82937,1
6.9492,1.5463,1
-3.3548,0.43629,1
0.57888,-0.24187,1
1.7334,-0.11773,1
-4.2992,-1.7931,1
4.6603,1.0555,1
0.68873,1.3881,1
8.0468,1.2888,1
0.76387,1.2559,1
3.2939,1.6698,1
-1.6127,1.3303,1
0.024007,1.5746,1
-1.6958,-0.16079,1
3.2414,0.43191,1
6.1168,1.6601,1
0.12274,0.13311,1
3.3799,2.4859,1
0.40507,1.9755,1
2.3229,1.1322,1
5.7829,1.1914,1
2.3804,1.5067,1
-1.2788,-0.069562,1
-0.7104,0.48338,1
1.4628,0.45243,1
1.3939,1.002,1
-0.73795,1.5826,1
2.5713,1.7393,1
6.0051,2.6075,1
1.2057,0.0756,1
1.3531,1.0613,1
-4.9618,-0.90995,1
-0.44923,0.9714,1
-2.4059,0.62584,1
0.77862,1.958,1
3.662,2.217,1
6.817,2.2976,1
7.6873,1.4085,1
1.6304,0.52552,1
0.98745,-0.95796,1
4.5852,0.99312,1
3.55,-0.13308,1
4.4199,2.1816,1
4.4611,2.1632,1
-2.6811,0.41957,1
3.7088,0.92319,1
1.7105,1.0825,1
-0.40413,2.0524,1
-0.19334,1.8587,1
6.0523,1.2131,1
-0.56062,0.76417,1
-1.9112,-0.57309,1
2.6789,1.4546,1
8.3586,2.6044,1
2.0808,1.8045,1
2.9749,-0.20175,1
-0.967,0.99919,1
7.2943,1.0333,1
2.3952,0.72779,1
3.6763,1.9452,1
-1.0107,0.81092,1
4.7007,1.261,1
3.2306,1.7187,1
-1.6556,1.8906,1
2.1257,0.46996,1
0.57508,-0.40229,1
2.3455,0.028653,1
1.2077,0.049865,1
1.3995,0.31903,1
-1.2664,1.0177,1
0.97766,-0.98954,1
4.424,1.5713,1
7.5171,1.1423,1
-1.6699,1.4175,1
9.518,1.3745,1
6.8259,1.7305,1
2.5329,0.25454,1
1.0475,0.25712,1
-0.20934,0.43959,1
4.6335,1.1936,1
-0.19653,0.20851,1
0.5394,1.7742,1
4.7942,1.9034,1
3.3786,2.8399,1
4.8358,1.1812,1
3.5961,2.1784,1
0.73225,-1.0382,1
0.37507,1.3183,1
4.5183,1.7048,1
-0.12249,0.35222,1
5.7525,2.175,1
4.5004,2.1477,1
2.9099,2.0464,1
2.0102,1.3711,1
3.1562,1.7026,1
13.152,2.0795,1
1.6444,-0.017464,1
-2.9224,0.026049,1
8.0561,2.0726,1
3.9285,2.1264,1
-0.048876,-0.0032574,1
10.277,1.8106,1
3.7423,3.8799,1
2.9304,0.59147,1
-0.45976,2.3216,1
-1.3676,1.341,1
-3.5922,-0.32989,1
0.66261,0.70559,1
-1.3302,0.31105,1
4.0484,1.7241,1
0.99557,2.0516,1
7.594,0.39728,1
6.7769,3.4981,1
2.5186,1.7625,1
1.1058,0.38265,1
5.6435,1.4356,1
-1.6256,0.7199,1
